Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2013","2013","23014","Food price inflation","7006","June","%","6.931698","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2014","2014","23014","Food price inflation","7006","June","%","9.698489","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23014","Food price inflation","7006","June","%","-2.194086","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23014","Food price inflation","7006","June","%","6.115633","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23014","Food price inflation","7006","June","%","10.87936","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23014","Food price inflation","7006","June","%","-4.995025","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23014","Food price inflation","7006","June","%","5.855055","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23014","Food price inflation","7006","June","%","12.87974","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23014","Food price inflation","7006","June","%","-0.367404","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2001","2001","23014","Food price inflation","7007","July","%","9.48265","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2002","2002","23014","Food price inflation","7007","July","%","21.854497","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2003","2003","23014","Food price inflation","7007","July","%","18.494055","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2004","2004","23014","Food price inflation","7007","July","%","10.512509","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2005","2005","23014","Food price inflation","7007","July","%","13.205706","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2006","2006","23014","Food price inflation","7007","July","%","4.970799","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2007","2007","23014","Food price inflation","7007","July","%","12.618223","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2008","2008","23014","Food price inflation","7007","July","%","48.300067","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2009","2009","23014","Food price inflation","7007","July","%","-20.294408","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23014","Food price inflation","7007","July","%","2.627739","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23014","Food price inflation","7007","July","%","11.547364","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2012","2012","23014","Food price inflation","7007","July","%","2.620311","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2013","2013","23014","Food price inflation","7007","July","%","9.705699","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2014","2014","23014","Food price inflation","7007","July","%","10.050818","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23014","Food price inflation","7007","July","%","-4.487919","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23014","Food price inflation","7007","July","%","7.975064","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23014","Food price inflation","7007","July","%","7.353894","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23014","Food price inflation","7007","July","%","-3.473387","Fc","Calculated data",""
